"filename", "language", "PostCSS", "JavaScript", "JSON", "Markdown", "HTML", "Dotenv", "C#", "XML", "Properties", "comment", "blank", "total"
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Bakalauras.API.csproj", "XML", 0, 0, 0, 0, 0, 0, 0, -30, 0, 0, -4, -34
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\AuthController.cs", "C#", 0, 0, 0, 0, 0, 0, -157, 0, 0, -9, -34, -200
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\AuthExtensions.cs", "C#", 0, 0, 0, 0, 0, 0, -21, 0, 0, -1, -5, -27
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\ClientOrdersController.cs", "C#", 0, 0, 0, 0, 0, 0, -477, 0, 0, -37, -53, -567
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\CompaniesController.cs", "C#", 0, 0, 0, 0, 0, 0, -438, 0, 0, -33, -95, -566
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\CompanyIntegrationsController.cs", "C#", 0, 0, 0, 0, 0, 0, -195, 0, 0, -22, -52, -269
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\CourierShipmentController.cs", "C#", 0, 0, 0, 0, 0, 0, -252, 0, 0, -35, -39, -326
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\CouriersController.cs", "C#", 0, 0, 0, 0, 0, 0, -125, 0, 0, -27, -26, -178
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\DashboardController.cs", "C#", 0, 0, 0, 0, 0, 0, -412, 0, 0, -24, -70, -506
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\GenericCourierController.cs", "C#", 0, 0, 0, 0, 0, 0, -70, 0, 0, -10, -13, -93
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\NotificationsController.cs", "C#", 0, 0, 0, 0, 0, 0, -68, 0, 0, -1, -19, -88
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\OrdersController.cs", "C#", 0, 0, 0, 0, 0, 0, -589, 0, 0, -39, -86, -714
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\PasswordResetController.cs", "C#", 0, 0, 0, 0, 0, 0, -79, 0, 0, -19, -28, -126
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\ProductsController.cs", "C#", 0, 0, 0, 0, 0, 0, -401, 0, 0, -18, -95, -514
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\ProfileController.cs", "C#", 0, 0, 0, 0, 0, 0, -146, 0, 0, -5, -33, -184
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\ReturnsController.cs", "C#", 0, 0, 0, 0, 0, 0, -457, 0, 0, -37, -78, -572
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\ShipmentController.cs", "C#", 0, 0, 0, 0, 0, 0, -663, 0, 0, -38, -104, -805
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\ShipmentLabelsController.cs", "C#", 0, 0, 0, 0, 0, 0, -112, 0, 0, -26, -29, -167
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\TrackingController.cs", "C#", 0, 0, 0, 0, 0, 0, -149, 0, 0, -13, -19, -181
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Controllers\UsersController.cs", "C#", 0, 0, 0, 0, 0, 0, -328, 0, 0, -22, -58, -408
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\ButentClientDto.cs", "C#", 0, 0, 0, 0, 0, 0, -23, 0, 0, 0, -1, -24
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\ButentOrdersDto.cs", "C#", 0, 0, 0, 0, 0, 0, -45, 0, 0, 0, -8, -53
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\ButentProductDto.cs", "C#", 0, 0, 0, 0, 0, 0, -38, 0, 0, 0, -3, -41
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\ClientOrderDto.cs", "C#", 0, 0, 0, 0, 0, 0, -40, 0, 0, -6, -5, -51
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\CompaniesDTO.cs", "C#", 0, 0, 0, 0, 0, 0, -38, 0, 0, -6, -6, -50
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\CompanyIntegrationDto.cs", "C#", 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, -1, -21
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\CourierDtos.cs", "C#", 0, 0, 0, 0, 0, 0, -26, 0, 0, -6, -3, -35
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\GoogleLoginDto.cs", "C#", 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, -7
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\LoginDto.cs", "C#", 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, -8
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\OrderDto.cs", "C#", 0, 0, 0, 0, 0, 0, -46, 0, 0, -16, -7, -69
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\ProductDto.cs", "C#", 0, 0, 0, 0, 0, 0, -25, 0, 0, -3, -2, -30
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\ProfileInfoDto.cs", "C#", 0, 0, 0, 0, 0, 0, -19, 0, 0, 0, -2, -21
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\RegisterDto.cs", "C#", 0, 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, -10
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\Shipmentdtos.cs", "C#", 0, 0, 0, 0, 0, 0, -31, 0, 0, -8, -10, -49
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\StatsDto.cs", "C#", 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, -1, -18
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\DTOs\UserDto.cs", "C#", 0, 0, 0, 0, 0, 0, -20, 0, 0, -8, -3, -31
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Data\AppDbContext.cs", "C#", 0, 0, 0, 0, 0, 0, -622, 0, 0, 0, -178, -800
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\admin.cs", "C#", 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, -4, -12
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\category.cs", "C#", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -5, -14
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\client.cs", "C#", 0, 0, 0, 0, 0, 0, -22, 0, 0, 0, -18, -40
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\client_company.cs", "C#", 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, -13, -30
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\company.cs", "C#", 0, 0, 0, 0, 0, 0, -36, 0, 0, 0, -32, -68
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\company_integration.cs", "C#", 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, -13, -30
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\company_user.cs", "C#", 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, -11, -26
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\courier.cs", "C#", 0, 0, 0, 0, 0, 0, -18, 0, 0, 0, -14, -32
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\employee.cs", "C#", 0, 0, 0, 0, 0, 0, -11, 0, 0, 0, -7, -18
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\invoice.cs", "C#", 0, 0, 0, 0, 0, 0, -20, 0, 0, -3, -16, -39
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\notification.cs", "C#", 0, 0, 0, 0, 0, 0, -21, 0, 0, -12, -17, -50
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\order.cs", "C#", 0, 0, 0, 0, 0, 0, -34, 0, 0, -3, -30, -67
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\ordersproduct.cs", "C#", 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, -11, -26
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\orderstatus.cs", "C#", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -5, -14
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\package.cs", "C#", 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, -9, -22
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\product.cs", "C#", 0, 0, 0, 0, 0, 0, -24, 0, 0, 0, -20, -44
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\product_image.cs", "C#", 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, -9, -22
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\product_return.cs", "C#", 0, 0, 0, 0, 0, 0, -36, 0, 0, 0, -32, -68
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\productgroup.cs", "C#", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -5, -14
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\return.cs", "C#", 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, -13, -30
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\return_item.cs", "C#", 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, -16, -36
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\return_reason.cs", "C#", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -5, -14
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\return_status_type.cs", "C#", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -5, -14
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\shipment.cs", "C#", 0, 0, 0, 0, 0, 0, -25, 0, 0, 0, -21, -46
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\shipment_status.cs", "C#", 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, -8, -20
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\shipment_status_type.cs", "C#", 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -5, -14
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Models\user.cs", "C#", 0, 0, 0, 0, 0, 0, -27, 0, 0, 0, -23, -50
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Program.cs", "C#", 0, 0, 0, 0, 0, 0, -81, 0, 0, -8, -25, -114
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Properties\launchSettings.json", "JSON", 0, 0, -41, 0, 0, 0, 0, 0, 0, 0, -1, -42
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\BackgroundTask\ClientSyncWorker.cs", "C#", 0, 0, 0, 0, 0, 0, -154, 0, 0, -26, -36, -216
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\BackgroundTask\OrderSyncWorker.cs", "C#", 0, 0, 0, 0, 0, 0, -140, 0, 0, -8, -36, -184
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\BackgroundTask\ProductSyncWorker.cs", "C#", 0, 0, 0, 0, 0, 0, -169, 0, 0, -1, -33, -203
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\ButentApiService.cs", "C#", 0, 0, 0, 0, 0, 0, -60, 0, 0, -3, -11, -74
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\CourierProviderFactory.cs", "C#", 0, 0, 0, 0, 0, 0, -74, 0, 0, -33, -16, -123
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\DpdProvider.cs", "C#", 0, 0, 0, 0, 0, 0, -339, 0, 0, -25, -69, -433
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\ICourierProvider.cs", "C#", 0, 0, 0, 0, 0, 0, -56, 0, 0, -33, -18, -107
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\IEmailService.cs", "C#", 0, 0, 0, 0, 0, 0, -75, 0, 0, -15, -16, -106
"c:\Users\Ignas\Desktop\KTU\VIII semestras\Bakalauro baigiamasis projektas\Siuntų valdymo posistemė\backend\Bakalauras.API\Services\IInvoiceService.cs", "C#", 0, 0, 0, 0, 0, 0, -208, 0, 0, -30, -39, -277
